canonical_name,alias,language
Aaron,Erin,en
Aaron,Ron,en
Aaron,Ronnie,en
Abel,Ab,en
Abel,Abe,en
Abel,Eb,en
Abel,Ebbie,en
Abigail,Abbe,en
Abigail,Abbey,en
Abigail,Abbi,en
Abigail,Abbie,en
Abigail,Abby,en
Abigail,Gail,en
Abigail,Nabby,en
Abner,Ab,en
Abraham,Ab,en
Abraham,Abe,en
Abram,Ab,en
Abram,Abe,en
Ada,Addy,en
Ada,Adie,en
Addison,Addie,en
Addison,Addy,en
Adela,Adie,en
Adela,Della,en
Adelaide,Addy,en
Adelaide,Adele,en
Adelaide,Adie,en
Adelaide,Dell,en
Adelaide,Della,en
Adelaide,Heidi,en
Adele,Addy,en
Adele,Dell,en
Adeline,Ada,en
Adeline,Addy,en
Adeline,Delia,en
Adeline,Dell,en
Adeline,Lena,en
Adolphus,Ado,en
Adolphus,Adolph,en
Adolphus,Dolph,en
Adrian,Rian,en
Adrienne,Addie,en
Adrienne,Enne,en
Adrienne,Rienne,en
Agatha,Aga,en
Agatha,Aggy,en
Agnes,Aggy,en
Agnes,Inez,en
Agnes,Nessa,en
Aileen,Allie,en
Aileen,Lena,en
Alan,Al,en
Albert,Al,en
Albert,Bert,en
Alberta,Allie,en
Alberta,Bert,en
Alberta,Bertie,en
Aldo,Al,en
Alex,Al,en
Alexander,Al,en
Alexander,Alec,en
Alexander,Alex,en
Alexander,Sandy,en
Alexandra,Alex,en
Alexandra,Alla,en
Alexandra,Sandra,en
Alexandra,Sandy,en
Alexandria,Alex,en
Alexandria,Alexander,en
Alexandria,Alla,en
Alexandria,Drina,en
Alexandria,Sandra,en
Alexis,Alex,en
Alexis,Lexi,en
Alfred,Al,en
Alfred,Fred,en
Alfred,Freddy,en
Alfreda,Alfy,en
Alfreda,Freda,en
Alfreda,Freddy,en
Alfreda,Frieda,en
Alice,Allie,en
Alice,Elsie,en
Alice,Lisa,en
Alicia,Allie,en
Alicia,Elsie,en
Alicia,Lisa,en
Aline,Adeline,en
Alison,Ali,en
Alison,Allie,en
Allan,Al,en
Allan,Alan,en
Allan,Allen,en
Allen,Al,en
Allen,Alan,en
Allen,Allan,en
Allison,Ali,en
Allison,Allie,en
Allison,Ally,en
Allyson,Ali,en
Allyson,Allie,en
Allyson,Ally,en
Alonzo,Al,en
Alonzo,Lon,en
Alonzo,Lonzo,en
Althea,Ally,en
Alyssa,Al,en
Alyssa,Ally,en
Alyssa,Lissia,en
Amanda,Manda,en
Amanda,Mandy,en
Ambrose,Brose,en
Amelia,Amy,en
Amelia,Emily,en
Amelia,Mel,en
Amelia,Millie,en
Amos,Moses,en
Anastasia,Ana,en
Anastasia,Stacy,en
Anderson,Andy,en
Andre,Drea,en
Andrea,Andi,en
Andrea,Andrew,en
Andrea,Andy,en
Andrea,Drea,en
Andrea,Rea,en
Andrew,Andy,en
Andrew,Drew,en
Andrew,Randy,en
Angela,Angel,en
Angela,Angie,en
Angelica,Angel,en
Angelica,Angelika,en
Angelica,Angelique,en
Angelica,Angie,en
Angelina,Angel,en
Angelina,Angie,en
Angelina,Lina,en
Ann,Annie,en
Ann,Nan,en
Anna,Ann,en
Anna,Anne,en
Anna,Annie,en
Anna,Nan,en
Anne,Ann,en
Anne,Annie,en
Anne,Nan,en
Annette,Anna,en
Annette,Nettie,en
Annie,Ann,en
Annie,Anna,en
Anthony,Ant,en
Anthony,Tony,en
Antoinette,Ann,en
Antoinette,Netta,en
Antoinette,Tony,en
Antonia,Ann,en
Antonia,Netta,en
Antonia,Tony,en
Antonio,Ant,en
Antonio,Tony,en
Archibald,Archie,en
Arielle,Arie,en
Arlene,Arly,en
Arlene,Lena,en
Arnold,Arnie,en
Aron,Erin,en
Aron,Ron,en
Aron,Ronnie,en
Arthur,Art,en
Ashley,Ash,en
Ashley,Ashly,en
Ashley,Leah,en
Ashley,Lee,en
Aubrey,Bree,en
Audrey,Audree,en
Audrey,Dee,en
August,Gus,en
Augusta,Aggy,en
Augusta,Gatsy,en
Augusta,Gussie,en
Augusta,Tina,en
Augustine,August,en
Augustine,Austin,en
Augustine,Gus,en
Augustus,August,en
Augustus,Austin,en
Augustus,Gus,en
Aurelia,Aurilla,en
Aurelia,Ora,en
Aurelia,Orilla,en
Aurelia,Ree,en
Aurelia,Rilly,en
Barbara,Bab,en
Barbara,Babs,en
Barbara,Barbie,en
Barbara,Barby,en
Barbara,Bobbie,en
Barney,Barnabas,en
Bart,Bartholomew,en
Beatrice,Bea,en
Beatrice,Trisha,en
Beatrice,Trix,en
Beatrice,Trixie,en
Belinda,Belle,en
Belinda,Linda,en
Bella,Arabella,en
Bella,Belle,en
Bella,Isabella,en
Benedict,Ben,en
Benedict,Bennie,en
Benjamin,Ben,en
Benjamin,Benjy,en
Benjamin,Bennie,en
Benjamin,Benny,en
Benjamin,Jamie,en
Bernard,Barney,en
Bernard,Berney,en
Bernard,Bernie,en
Bernard,Berny,en
Bert,Bertie,en
Bert,Bob,en
Bert,Bobby,en
Bertha,Bert,en
Bertha,Bertie,en
Bertha,Birdie,en
Bertram,Bert,en
Bess,Bessie,en
Beth,Betsy,en
Beth,Betty,en
Beth,Elizabeth,en
Beverly,Bev,en
Bill,Billy,en
Bill,Fred,en
Bill,Robert,en
Bill,William,en
Bill,Willie,en
