canonical_name,alias,language
Abigail,Abi,es
Abril,Abi,es
Abril,Ari,es
Abril,Bril,es
Adalberto,Betito,es
Adalberto,Beto,es
Adalberto,Dálber,es
Adalberto,Ádal,es
Adalilia,Ada,es
Adalilia,Lili,es
Adamaris,Ada,es
Adela,Ade,es
Adela,Adelita,es
Adela,Dela,es
Adelaida,Adela,es
Adelina,Ade,es
Adelina,Adeli,es
Adelina,Ady,es
Adelina,Lina,es
Adolfo,Ado,es
Adolfo,Fito,es
Adolfo,Ádolf,es
Adoración,Ado,es
Adoración,Dori,es
Adriana,Adri,es
Adrián,Adri,es
Adrián,Adria,es
Adrián,Adriano',es
Adrián,Alucard,es
Adrián,Ey Drian,es
Agustina,Agu,es
Agustina,Agus,es
Agustina,Agusita,es
Agustina,Gus,es
Agustina,Tina,es
Agustina,Tinita,es
Agustín,Agu,es
Agustín,Agus,es
Agustín,Tin,es
Alba,Al,es
Alba,Albi,es
Alba,Albita,es
Alba,Bita,es
Alberto,Al,es
Alberto,Alber,es
Alberto,Albertico,es
Alberto,Berto,es
Alberto,Bertín,es
Alberto,Beto,es
Alberto,Buichi,es
Alberto,Tito,es
Alberto,Tucho,es
Alberto,Tuco,es
Alejandra,Ale,es
Alejandra,Aleja,es
Alejandra,Alejita,es
Alejandra,Alita,es
Alejandra,Alu,es
Alejandra,Jana,es
Alejandra,Jandra,es
Alejandra,Lali,es
Alejandro,Ale,es
Alejandro,Alex,es
Alejandro,Jandro,es
Alexander,Alexis,es
Alexander,Alexito,es
Alexander,Lex,es
Alexander,Xandro,es
Alexander,Álex,es
Alexandra,Ale,es
Alexandra,Alexa,es
Alexandra,Andra,es
Alexandra,Sandra,es
Alexandra,Xandra,es
Alexandra,Álex,es
Alfonso,Al,es
Alfonso,Alf,es
Alfonso,Alfon,es
Alfonso,Foncho,es
Alfonso,Fonsi,es
Alfonso,Fonso,es
Alfonso,Loncho,es
Alfonso,Pocho,es
Alfonso,Pocholo,es
Alfonso,Ponchis,es
Alfonso,Poncho,es
Alfonso,Poto,es
Alfonso,Sito,es
Alfonso,Sonny,es
Alma,Almi,es
Alma,Almita,es
Alma,Ma,es
Almudena,Almu,es
Almudena,Dena,es
Almudena,Deni,es
Almudena,Mu,es
Almudena,Mude,es
Amanda,Mandi,es
Amapola,Pola,es
Amelia,Ame,es
Amelia,Ameli,es
Amelia,Amelita,es
Amelia,Meli,es
Amelia,Melia,es
Amparo,Amparito,es
Amparo,Charo,es
Andrea,Andi,es
Andrea,Andre,es
Andrea,Andreíta,es
Andrea,Andru,es
Andrea,Ane,es
Andrea,Dreica,es
Andrea,Nea,es
Andrea,Tish,es
Andreína,Andre,es
Andrés,Andi,es
Andrés,Andre,es
Andrés,Andriu,es
Angelina,Ange,es
Angelina,Angi,es
Angelina,Angie,es
Angelina,Ann,es
Angelina,Anyi,es
Angélica,Ange,es
Angélica,Angeliquita,es
Angélica,Angi,es
Angélica,Anyi,es
Anselmo,Selmo,es
Antoinette,Anto,es
Antoinette,Antu,es
Antoinette,Atún,es
Antolín,Antolinito,es
Antolín,Tolín,es
Antonella,Anto,es
Antonella,Antonelita,es
Antonella,Nela,es
Antonia,Anto,es
Antonia,Antoñita,es
Antonia,Tonia,es
Antonia,Tonina,es
Antonia,Toña,es
Antonia,Toñi,es
Antonieta,Anto,es
Antonieta,Toni,es
Antonieta,Toña,es
Antonieta,Toñeta,es
Antonio,Anto,es
Antonio,Antolín,es
Antonio,Antoñito,es
Antonio,Antoñuelo,es
Antonio,Antoñín,es
Antonio,Antuco,es
Antonio,Antón,es
Antonio,Choño,es
Antonio,Toni,es
Antonio,Tonio,es
Antonio,Tono,es
Antonio,Toñito,es
Antonio,Toño,es
Antonio,Toñín,es
Antonio,Ñico,es
Apolinar,Polo,es
Araceli,Ara,es
Araceli,Arita,es
Araceli,Celi,es
Araceli,Cheli,es
Araceli,Leli,es
Araceli,Lili,es
Arath,Aran,es
Arath,Ari,es
Arath,Tati,es
Arcadio,Cadio,es
Arcadio,Cayo,es
Argentina,Tina,es
Argentina,Titina,es
Argimiro,Tito,es
Ariadna,Ari,es
Ariel,Ari,es
Ariel,Arielito,es
Aristeo,Teo,es
Armando,Armi,es
Armando,Mandis,es
Armando,Mando,es
Arsenio,Chenio,es
Arsenio,Cheno,es
Artemio,Temo,es
Arturo,Artur,es
Arturo,Turito,es
Asunción,Asun,es
Asunción,Chon,es
Asunción,Choni,es
Atanasio,Tacho,es
Augusto,Guti,es
Augusto,Guto,es
Avelino,Velino,es
Azucena,Cena,es
Baldomero,Baldo,es
Baltazar,Balta,es
Bartolomé,Bart,es
Bartolomé,Bartolo,es
Bartolomé,Mome,es
Bartolomé,Tolo,es
Bautista,Bauche,es
Bautista,Bauti,es
Bautista,Tista,es
Beatriz,Bea,es
Beatriz,Beatri,es
Beatriz,Bequi,es
Beatriz,Beti,es
Beatriz,Bia,es
Belén,Bel,es
Belén,Belencilla,es
Belén,Belencita,es
Belén,Belu,es
Benedicto,Ben,es
Benedicto,Beni,es
Benedicto,Benito,es
Benjamín,Ben,es
Benjamín,Beni,es
Benjamín,Benito<ref name=razón/>,es
Benjamín,Benja,es
Benjamín,Benji,es
Benjamín,Benjita,es
Benjamín,Chamín,es
Benjamín,Jamín,es
Benjamín,Min,es
Benjamín,Mincho,es
Berenice,Bere,es
Bernardo,Berna,es
Bernardo,Berni,es
Bernardo,Beñallo,es
Bernardo,Beño,es
Bernardo,Nardo,es
Bibiana,Bibi,es
Blanca,Blan,es
Blanca,Blanquita,es
Bonifacio,Boni,es
Bonifacio,Facio,es
Borja,Borji,es
Borja,Borjita,es
Bulmaro,Maro,es
Bárbara,Bar,es
Bárbara,Barbarita,es
Bárbara,Barbi,es
Camila,Cami,es
Camila,Mila,es
Camila,Mili,es
Camilo,Cami,es
Camilo,Chamilo,es
Camilo,Milo,es
Carlos,Caliche,es
Carlos,Carl,es
Carlos,Carlitos,es
Carlos,Carmelo,es
Carlos,Charli,es
Carlos,Charly,es
Carlos,Chaz,es
Carlos,Letes,es
Carlos,Litos,es
Carmen,Camucha,es
Carmen,Carmela,es
Carmen,Carmelilla,es
Carmen,Carmeluchi,es
Carmen,Carmencita,es
Carmen,Coqui,es
Carmen,Mamen,es
Carmen,Menchu,es
Carolina,Callolla,es
Carolina,Calola,es
Carolina,Carito,es
Carolina,Caro,es
Carolina,Carol,es
Carolina,Carola,es
Carolina,Lina,es
Carolina,Nina,es
Carolina,lola,es
Catalina,Cata,es
Catalina,Cati,es
Catalina,Lina,es
Cayetano,Tano,es
Cecilia,Ceci,es
Cecilia,Chechi,es
Cecilia,Chechu,es
Cecilia,Chila,es
Ceferino,Cefe,es
Celedonia,Cele,es
Celeste,Cel,es
Celeste,Celes,es
Celestino,Celes,es
Celestino,Tino,es
Celia,Ce,es
Celia,Chela,es
Cenovio,Ceno,es
Cintia,Chicharra,es
Cintia,Chichi,es
Cintia,Cin,es
Cintia,Cinti,es
Clara,Ara,es
Clara,Chia,es
Clara,Clari,es
Clara,Clarita,es
Clara,Cler,es
Claudia,Clau,es
Claudia,Claudi,es
Claudia,Clota,es
Claudio,Cayo,es
Claudio,Clau,es
Claudio,Claudi,es
Claudio,Claudito,es
Claudio,Claus,es
Concepción,Chon,es
Concepción,Chun,es
Concepción,Conce,es
Concepción,Concha,es
Concepción,Conchi,es
Concepción,Conchita,es
Conrado,Rado,es
Constantino,Consta,es
Constantino,Constan,es
Constantino,Cos,es
Constantino,Tante,es
Constantino,Tino,es
Constantino,Tinín,es
Constanza,Cona,es
Constanza,Coni,es
Constanza,Consi,es
Constanza,Coti,es
Constanza,Coty,es
Crescenciano,Chano,es
Crescencio,Chencho,es
Crisanto,Cris,es
Crisanto,Santo,es
Cristian,Cris,es
Cristina,Cris,es
Cristina,Crispis,es
Cristina,Cristi,es
Cristina,Quichi,es
Cristina,Tina,es
Cristina,Tita,es
Cristina,Titi,es
Cristina,Titina,es
Cristóbal,Cris,es
Cristóbal,Cristi,es
Cristóbal,Cristo,es
Cristóbal,Tobi,es
Cristóbal,Tóbal,es
Cuauhtémoc,Cuauh,es
Cuauhtémoc,Temo,es
Custodio,Todio,es
Custodio,Toyo,es
Cátherin,Cate,es
Cátherin,Cati,es
Cátherin,Katty,es
César,Cesarini,es
César,Cesario,es
César,Cesarín,es
César,Cesi,es
César,Ceso,es
César,Checha,es
César,Chechai,es
César,Chichitar,es
César,Chícharo,es
César,Sari,es
César,Tésar,es
Dagoberto,Beto,es
Dagoberto,Dago,es
Daniela,Dan,es
Daniela,Dani,es
Daniela,Ela,es
Daniela,Nani,es
Daniela,Niela,es
Darío,Dari,es
Darío,Llallío,es
David,Dave,es
David,Davi,es
David,Davicho,es
David,Davicillo,es
David,Davo,es
David,Deivid,es
Davinia,Davi,es
Denisse,Den,es
Denisse,Deni,es
Denisse,Denu,es
Desiderio,Desi,es
Desiderio,Yeyo,es
Diana,Di,es
Diana,Dianis,es
Diego,Diegui,es
Diego,Guillo,es
Diego,Yago,es
Diego,Yeyo,es
Dionisio,Dioni,es
Dolores,Lola,es
Dolores,Loles<ref name=UPB />,es
Dolores,Loli,es
Dolores,Lolita,es
Domingo,Chomin,es
Domingo,Chuma,es
Domingo,Chumingo,es
Domingo,Do,es
Domingo,Domi,es
Domingo,Domo,es
Domingo,Minga,es
Domingo,Mingo,es
Doménica,Dome,es
Donaldo,Dioni,es
Donaldo,Don,es
Donaldo,Doni,es
Donato,Don,es
Donato,Nato,es
Doribeth,Beth,es
Doribeth,Dora,es
Doribeth,Dori,es
Dorotea,Dora,es
Dorotea,Dori,es
Edilberto,Beto,es
Edilberto,Edi,es
Edilberto,Edil,es
Edmundo,Edu,es
Edmundo,Mundo,es
Edmundo,Muno,es
Eduardo,Duardo,es
Eduardo,Edu,es
Eduardo,Eduardillo Edu,es
Eduardo,Eduardito,es
Eduardo,Gualo,es
Eduardo,Guayo,es
Eduardo,Lalo,es
Eduardo,Wardo,es
Eduardo,Yayo,es
Eduviges,Edu,es
Eladia,Yaya,es
Eleazar,Lechi,es
Eleida,Eli,es
Eleuterio,Lute,es
Eliseo,Eli,es
Eliseo,Licho,es
Elizabeth,Beth,es
Elizabeth,Eli,es
Elizabeth,Eliza,es
Elizabeth,Lilibeth,es
Elizabeth,Liz,es
Elizabeth,Liza,es
Elizabeth,Zabeth,es
Eliézer,Lechi,es
Elvira,Elvi,es
Elvira,Virita,es
Emanuel,Ema,es
Emanuel,Manu,es
Emerenciana,Emeren,es
Emerenciana,Mere,es
Emigdio,Millo,es
Emilia,Emi,es
Emilia,Emilita,es
Emilia,Mimí,es
Emiliano,Emi,es
Emiliano,Lano,es
Emiliano,Melu,es
Emiliano,Melucho,es
Emiliano,Millán,es
Encarnación,Encar,es
Encarnación,Encarna,es
Encarnación,Encarni,es
Encarnación,Nani,es
Engelberto,Beto,es
Engelberto,Engel,es
Engracia,Engraci,es
Engracia,Gracia,es
Enrique,Kike,es
Enrique,Quique,es
Erasmo,Eras,es
Ernestina,Neti,es
Ernestina,Tina,es
Ernesto,Erne,es
Ernesto,Erni,es
Ernesto,Nesti,es
Ernesto,Neto,es
Ernesto,Tito,es
Erubiel,Eru,es
Esmeralda,Esme,es
Esperanza,Espe,es
Esperanza,Lancha,es
Esperanza,Pancha,es
Esperanza,Pelancha,es
Esperanza,Pera,es
Estanislao,Estanis,es
Estanislao,Tani,es
Esteban,Chano,es
Esteban,Teban,es
Esteban,Tebo,es
Estefanía,Estefa,es
Estefanía,Estefi,es
Estefanía,Esti,es
Estefanía,Fani,es
Estefanía,Fefa,es
