canonical_name,alias,language
Ambrus,Ambró,hu
Ambrus,Ambó,hu
András,Anda,hu
András,Andics,hu
András,Andocs,hu
András,Andos,hu
András,Andó,hu
András,Andócs,hu
András,Andók,hu
András,Bandi,hu
András,Endre,hu
Anikó,Ani,hu
Anna,Ancsa,hu
Anna,Ani,hu
Anna,Annus,hu
Anna,Annók,hu
Anna,Panna,hu
Anna,Panni,hu
Antal,Anti,hu
Antal,Antos,hu
Attila,Ati,hu
Attila,Atti,hu
Balázs,Bali,hu
Balázs,Balika,hu
Balázs,Balsa,hu
Balázs,Baló,hu
Balázs,Bazsi,hu
Barnabás,Balló,hu
Barnabás,Barlók,hu
Barnabás,Barna,hu
Barnabás,Barni,hu
Benedek,Bencs,hu
Benedek,Bende,hu
Benedek,Bendekő,hu
Benedek,Bendő,hu
Benedek,Bene,hu
Benedek,Benes,hu
Benedek,Benics,hu
Benedek,Benis,hu
Benedek,Benke,hu
Benedek,Benkő,hu
Benedek,Benyus,hu
Benedek,Benő,hu
Bertalan,Barkó,hu
Bertalan,Barta,hu
Bertalan,Bartal,hu
Bertalan,Bartók,hu
Bertalan,Berci,hu
Bertalan,Berics,hu
Bertalan,Berkó,hu
Bertalan,Berta,hu
Bertalan,Bertal,hu
Bertalan,Berti,hu
Bertalan,Bertők,hu
Beáta,Bea,hu
Boglárka,Bogi,hu
Boldizsár,Bolda,hu
Boldizsár,Boldi,hu
Boldizsár,Bóda,hu
Boldizsár,Bódi,hu
Bonifác,Bona,hu
Bonifác,Bonó,hu
Bonifác,Bónis,hu
Botond,Boti,hu
Béla,Béci,hu
Csaba,Csabi,hu
Csépán,Csép,hu
Csépán,Csépa,hu
Csépán,Csépe,hu
Demeter,Deme,hu
Demeter,Demők,hu
Demeter,Dencse,hu
Demeter,Döme,hu
Domokos,Doma,hu
Domokos,Domó,hu
Dorottya,Darkó,hu
Dorottya,Dorka,hu
Dorottya,Dorkó,hu
Dorottya,Doró,hu
Dorottya,Dóra,hu
Dániel,Dancs,hu
Dániel,Dani,hu
Dániel,Dankó,hu
Dániel,Dán,hu
Dániel,Dános,hu
Dániel,Dány,hu
Dávid,Dóka,hu
Dávid,Dókus,hu
Dávid,Dósa,hu
Dávid,Dózsa,hu
Dénes,Dien,hu
Edit,Edi,hu
Enikő,Eni,hu
Erzsébet,Böske,hu
Erzsébet,Bözsi,hu
Erzsébet,Erzse,hu
Erzsébet,Erzsi,hu
Erzsébet,Erzsik,hu
Erzsébet,Erzsók,hu
Erzsébet,Pörzsi,hu
Erzsébet,Örzse,hu
Erzsébet,Örzsik,hu
Eszter,Eszti,hu
Ferenc,Feri,hu
Ferenc,Ferke,hu
Ferenc,Ferkó,hu
Filep,Filó,hu
Flórián,Fora,hu
Flórián,Fóris,hu
Fábián,Fabó,hu
Fábián,Fabóka,hu
Fülöp,File,hu
Fülöp,Filke,hu
Fülöp,Filkő,hu
Fülöp,Füle,hu
Fülöp,Fülkő,hu
Gabriella,Gabi,hu
Gedeon,Gede,hu
Gedeon,Gedes,hu
Gedeon,Gedő,hu
Gedeon,Gödes,hu
Gellért,Gera,hu
Gergely,Gerd,hu
Gergely,Gere,hu
Gergely,Gerecs,hu
Gergely,Gergő,hu
Gergely,Gerő,hu
Gergely,Gerőcs,hu
Gergely,Greg,hu
Gergely,Göre,hu
Gergely,Göröcs,hu
György,Gyuri,hu
György,Györe,hu
György,Györke,hu
György,Györkény,hu
György,Gyüres,hu
Gábor,Gabi,hu
Gál,Galló,hu
Gál,Galó,hu
Gáspár,Gaskó,hu
Gáspár,Gazsi,hu
Gáspár,Gazsó,hu
Géza,Gésa,hu
Hajnalka,Hajni,hu
Hippolit,Ipacs,hu
Hippolit,Ipos,hu
Horváth,Horvath,hu
Ignác,Igó,hu
Ila,Pila,hu
Ildikó,Ildi,hu
Ilona,Ili,hu
Ilona,Ilus,hu
Imre,Imi,hu
Imre,Imrő,hu
Imre,Imrők,hu
István,Icsó,hu
István,Icső,hu
István,Isti,hu
István,Istó,hu
István,Istók,hu
István,Pista,hu
István,Pisti,hu
István,Pityu,hu
Iván,Ivócs,hu
Jakab,Jakucs,hu
Jenő,Jenci,hu
Judit,Jutka,hu
Julianna,Julcsi,hu
János,Jana,hu
János,Jancsa,hu
János,Jancsi,hu
János,Jancsó,hu
János,Jani,hu
János,Janika,hu
János,Janó,hu
János,Jánok,hu
János,Józsa,hu
József,Joci,hu
József,Jóska,hu
József,Józsi,hu
Júlia,Julis,hu
Katalin,Kata,hu
Katalin,Kati,hu
Katalin,Katus,hu
Katalin,Kató,hu
Katalin,Katócs,hu
Kelemen,Kelcse,hu
Kelemen,Kele,hu
Kelemen,Kelő,hu
Kinga,Kingus,hu
Kovács,Kovacs,hu
Kristóf,Krityó,hu
Kálmán,Kala,hu
Kálmán,Kalis,hu
Kálmán,Kalya,hu
Kálmán,Kaló,hu
Kálmán,Kálics,hu
Károly,Karcsi,hu
Lajos,Lali,hu
Lestár,Léka,hu
Levente,Levi,hu
László,Laci,hu
László,Lacika,hu
László,Lackó,hu
Lídia,Lidus,hu
Lőrinc,Lök,hu
Lőrinc,Lőcs,hu
Lőrinc,Lőcse,hu
Lőrinc,Lőkös,hu
Lőrinc,Lőre,hu
Marcell,Marci,hu
Mihály,Mihe,hu
Mihály,Mihók,hu
Mihály,Misi,hu
Mihály,Miska,hu
Miklós,Mike,hu
Miklós,Mikes,hu
Miklós,Mikos,hu
Miklós,Miksa,hu
Miklós,Mikse,hu
Miklós,Mikus,hu
Miklós,Mikó,hu
Mária,Marcsa,hu
Mária,Mari,hu
Mária,Marika,hu
Mária,Marsa,hu
Márk,Markó,hu
Márton,Martus,hu
Márton,Mortus,hu
Mátyás,Matyi,hu
Máté,Matyi,hu
Máté,Mató,hu
Nagy,Nagy,hu
Norbert,Norbi,hu
Nóra,Nóri,hu
Orsolya,Orsi,hu
Pongrác,Pongor,hu
Pál,Pacsa,hu
Pál,Palkó,hu
Pál,Palló,hu
Pál,Paló,hu
Pál,Pócs,hu
Pál,Póka,hu
Pál,Pósa,hu
Péter,Pete,hu
Péter,Petecs,hu
Péter,Petes,hu
Péter,Peti,hu
Péter,Petk,hu
Péter,Petya,hu
Péter,Petüs,hu
Péter,Pető,hu
Péter,Petőcs,hu
Renáta,Reni,hu
Richárd,Ricsi,hu
Roland,Roli,hu
Rozália,Rózi,hu
Sarolta,Sári,hu
Saul,Sala,hu
Sebestyén,Sebő,hu
Sebestyén,Sebők,hu
Simon,Simkó,hu
Simon,Sinkó,hu
Szabó,Szabo,hu
Sándor,Sancsi,hu
Sándor,Sanyi,hu
Sárközi,Sarkozi,hu
Sárközi,Sarkozy,hu
Tamás,Tancsa,hu
Tamás,Tomi,hu
Teréz,Teri,hu
Terézia,Terus,hu
Terézia,Trézsi,hu
Tibor,Tibi,hu
Tóth,Toth,hu
Varga,Varga,hu
Veronika,Roni,hu
Veronika,Vera,hu
Viktor,Viki,hu
Viktória,Viki,hu
Vilmos,Vili,hu
Zoltán,Zoli,hu
Zsigmond,Zsigó,hu
Zsuzsanna,Zsuzsi,hu
Zsófia,Zsófi,hu
Ábrahám,Ábris,hu
Ádám,Adacs,hu
Ádám,Ádi,hu
Ágnes,Ági,hu
Ágoston,Agócs,hu
Ágoston,Ágos,hu
